name,url_link,address,city,state,country,phone,email,image,url,keyword
Shelby County Sheriff: Criminal Investigation Division,Shelby County Sheriff: Criminal Investigation Division,"380 McDow Rd, Columbiana, AL 35051",Columbiana,Alabama,,205-669-4181,,,https://www.shelbyso.com/,cybercrime
"Alaska Department of Public Safety, Technical Crimes Unit","Alaska Department of Public Safety, Technical Crimes Unit","5700 East Tudor Road, Anchorage Alaska",Anchorage,Alaska,,907-269-5511,,,https://dps.alaska.gov/ast/abi/technicalcrimes,cybercrime
Arizona Department of Public Safety: Computer and Financial Crimes,Arizona Department of Public Safety: Computer and Financial Crimes,2222 W. Encanto Blvd. Phoenix Arizona,Phoenix,Arizona,,602-223-2000,,,https://www.azdps.gov/organization/cid/computer,cybercrime
Chandler Police Department: Computer Crimes Unit,Chandler Police Department: Computer Crimes Unit,4040 E Chandler Heights Rd Chandler Arizona,Chandler,Arizona,,480-782-4065,,,https://chandlerazpd.gov/about/computer-crimes-unit/,cybercrime
"Criminal Investigations Division, Arizona Department of Public Safety","Criminal Investigations Division, Arizona Department of Public Safety",2222 W. Enchanto Blvd. Phoenix Arizona,Phoenix,Arizona,,602-223-2000,,,https://www.azdps.gov/organization/cid,cybercrime
Tempe PD: Special Investigation Unit: Computer Forensics Unit,Tempe PD: Special Investigation Unit: Computer Forensics Unit,"120 E 5th St, Tempe, AZ 85281 Tempe Arizon",Tempe,Arizon,,480-350-8311,,,http://www.tempe.gov/police,cybercrime
Boone County Sheriff’s Office: Criminal Investigation Division,Boone County Sheriff’s Office: Criminal Investigation Division,5800 Law Drive Harrison Arkansas,Harrison,Arkansas,,870-741-8404,,,https://www.boonesheriff.com/cid,cybercrime
Fayetteville Police Department: Criminal Investigation Unit (Task Force Officers) and Special Investigation Unit,Fayetteville Police Department: Criminal Investigation Unit (Task Force Officers) and Special Investigation Unit,113 West Mountain Street Fayetteville Arkansas,Fayetteville,Arkansas,,479-587-3520,,,https://www.fayetteville-ar.gov/194/Special-Investigations-Unit,cybercrime
Fort Smith Police Department: Computer Forensics Team,Fort Smith Police Department: Computer Forensics Team,100 S 10th st. Fort Smith Arkansas,Fort Smith,Arkansas,,479-709-5129,,,https://old.fortsmithpd.org/CyberInvestUnit.asp,cybercrime
Jonesboro Police Department: Criminal Investigations: High-Tech Crimes Unit,Jonesboro Police Department: Criminal Investigations: High-Tech Crimes Unit,1001 South Caraway road Jonesboro Arkansas,Jonesboro,Arkansas,,870-935-5657,,,https://jonesboropolice.com/criminalinvestigation,cybercrime
